MONTH,DAY,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME
1,1,2,98,1624,324,5,2354
1,1,1,2336,1558,483,10,2
1,1,12,840,423,585,20,18
1,1,1,258,1518,483,20,15
1,1,2,135,2133,584,25,24
1,1,4,806,1143,585,25,20
1,1,9,612,2767,481,25,19
1,1,12,2013,2412,483,30,44
1,1,1,1112,1563,585,30,19
1,1,4,1173,3936,481,30,33
1,1,4,2336,4752,392,30,24
1,1,1,1674,4112,481,35,27
1,1,4,1434,2228,483,35,35
1,1,4,2324,1194,593,40,34
1,1,4,2440,2853,584,40,39
1,1,2,108,880,324,45,41
1,1,4,1560,1171,324,45,31
1,1,11,1197,3633,585,48,42
1,1,2,122,1642,324,50,46
1,1,4,1670,3814,543,50,45
1,1,9,520,2122,481,55,120
1,1,1,371,1495,584,100,52
